Species,Family,Country
infusa (Boisd.),Noctuidae,['Australia']
lunifer H.-S.,"Notodontidae
Thaumetopoeinae",['Australia']
eremophilae (Lucas),Sphingidae,['Australia']
livornicoides Lucas,Sphingidae,['Australia']
patroclus goldiei Druce,Uranidae,['']
terminifera (Walker),Acrididae,['Australia']
migratoria (L.),Acrididae,['']
irregularis (Walk.),Acrididae,['']
commodus (Walker),Gryllacridae,['Australia']
horrida Boisduval,Phasmatidae,['']
tiaratum (MacLeay),Phasmatidae,['']
spiculatus Lec.,Cerambycidae,['']
maculosus Hald.,Cerambycidae,['']
scutellatus (Say),Cerambycidae,['']
conjunctus (LeConte),Cerambycidae,['']
californicus Motsch.,Cerambycidae,['']
lineatum (Ol.),Cerambycidae,['']
nauticus (Mann.),Cerambycidae,['']
cruentatus (F.),Curculionidae,['']
ellipticus Le Conte,Dytiscidae,['']
explanatus LeConte,Dytiscidae,['']
borealis Arrow,Scarabaeidae,['']
dimidiata Burmeister syn,Scarabaeidae,['']
melanocephala (F.),Scarabaeidae,['']
villosa Burm. syn,Scarabaeidae,['']
fusca (Froelich),Scarabaeidae,['']
crinita LeConte,Scarabaeidae,['']
cinerea Jones,Ephydridae,['']
hians Say,Ephydridae,['']
macellaria Egger,Ephydridae,['']
hians Say,Ephydridae,['']
bovis (L.),Oestridae,['']
lineatum (Viller),Oestridae,['Canada']
tarandi (L.),Oestridae,['']
tarandi (L.),Oestridae,['']
hespera Arnaud & B.,Tipulidae,['']
rubiginosa Loew syn,Tipulidae,['']
derbyi Doane,Tipulidae,['']
quaylii Doane,Tipulidae,['']
simplex Doane,Tipulidae,['']
americanus (Leidy),Belostomatidae,['']
pruni (Geoffr.),Aphididae,['']
apache (Davis),Cicadidae,['']
cassini (Fisher),Cicadidae,['']
septemdecim (L.),Cicadidae,['']
septendecula (A. & M.),Cicadidae,['']
tredecassini ( A. & M.),Cicadidae,['']
tredecim (Riley),Cicadidae,['']
tredecula (A. & M.),Cicadidae,['']
bella Davis,Cicadidae,['']
cruentifera (Uhler),Cicadidae,['']
areolata (Uhler),Cicadidae,['']
appositus Cresson,Apidae,['']
nevadensis Cresson,Apidae,['']
"terricola occidentalis
Greene",Apidae,['']
vosnesenskii Radoszk.,Apidae,['']
maculatus (F.),Formicidae,['']
pennsylvanicus De Geer,Formicidae,['']
melliger Forel,Formicidae,['']
mexicanus Wesmael,Formicidae,['']
californicus (Buckley),Formicidae,['']
desertorum Wheeler,Formicidae,['']
occidentalis (Cresson),Formicidae,['']
owyheei Cole syn,Formicidae,['']
salinus Olsen,Formicidae,['']
arenaria (F.),Vespidae,['']
diabolica Saussure syn,Vespidae,['']
pennsylvanica (Saussure),Vespidae,['']
tibialis Banks,Rhinotermitidae,['']
caja americana Harris,Arctiidae,['']
yuccae Boisd. & LeC.,Hesperiidae,['']
zea (Boddie),Noctuidae,['']
zea (Boddie),Noctuidae,['']
fortis (Grote),Noctuidae,['']
frugiperda (Smith),Noctuidae,['']
pandora Blake,Saturniidae,['']
euryalus (Boisd.),Saturniidae,['']
lineata (F.),Sphingidae,['']
sexta (L.),Sphingidae,['']
multicolor (Hagen),Aeschnidae,['']
pseudonietana (Thomas),Acrididae,['']
pellucidae (Scudder),Acrididae,['']
bivittatus (Say),Acrididae,['']
devastator Scudder,Acrididae,['']
differentialis (Thomas),Acrididae,['']
femurrubrum (DeGeer),Acrididae,['']
sanguinipes (F.),Acrididae,['']
spretus (Walsh),Acrididae,['Canada']
enigma (Scudder),Acrididae,['']
shoshone (Thomas),Acrididae,['']
fuscus Haldeman,Gryllacrididae,['']
